station_name,storage_interval,category,directory_class
MesoWest_RAWS_LVPN5,60,suspect,good
MesoWest_RAWS_MTNN5,60,suspect,good
MesoWest_RAWS_SDVC2,60,suspect,good
MesoWest_RAWS_SFWN5,60,bad,bad
MesoWest_RAWS_SFXN5,60,bad,bad
MesoWest_RAWS_SNLN5,60,good,good
MesoWest_RAWS_STLN5,60,good,good
MesoWest_RAWS_TJRN5,60,good,good
MesoWest_RAWS_TR739,60,bad,bad
MesoWest_RAWS_TRUN5,60,bad,bad
MesoWest_RAWS_TS001,60,bad,bad
MesoWest_RAWS_TS677,60,bad,bad
MesoWest_RAWS_TS801,60,bad,bad
MesoWest_RAWS_TS872,60,bad,bad
MesoWest_RAWS_TT033,15,bad,bad
MesoWest_RAWS_TT075,15,bad,bad
MesoWest_RAWS_TT329,60,good,good
MesoWest_RAWS_TT491,60,bad,bad
MesoWest_RAWS_TT566,60,good,good
MesoWest_RAWS_TT590,60,bad,bad
MesoWest_RAWS_TT712,60,good,good
MesoWest_RAWS_TWRN5,60,good,good
MesoWest_RAWS_WDRN5,60,good,good
MesoWest_SCAN_ALDN5,60,good,good
MesoWest_SCAN_SN001,60,good,good
MesoWest_SSCAFCA_SSC08,5,nan,bad
MesoWest_SSCAFCA_SSC09,5,nan,bad
MesoWest_SSCAFCA_SSCEH,5,nan,bad
MesoWest_SSCAFCA_SSCHJ,5,nan,bad
MesoWest_SSCAFCA_SSCLA,5,nan,bad
MesoWest_SSCAFCA_SSCMF,5,nan,bad
MesoWest_SSCAFCA_SSCND,5,nan,bad
MesoWest_SSCAFCA_SSCSP,5,nan,bad
MesoWest_SSCAFCA_SSCVA,5,nan,bad
MesoWest_SSCAFCA_SSFCA,5,nan,bad
MesoWest_TAOS_RGTAO,5,nan,bad
MesoWest_UPR_UP387,120,good,good
MesoWest_UPR_UP426,30,bad,bad
MesoWest_UPR_UP968,120,suspect,good
MesoWest_UPR_UR683,120,good,good
